id_obra,Num Obra,Nombre Obra,Municipio,Localidad,Ejecutor,Promotor,Fondo,No. Ofic_Aprob,Fecha Aprob,Monto Exp.,Total Contratado,Monto Fed,Monto Est,Monto Mpal,Monto Benef,Monto Otro,Aprobado,Ejercido,Contratista,RFC,Num. Contrato,Fecha_Inicio Contrato,Fecha_Termino Contrato,Edo. Proyecto,Avance Fisico,Cant. Metas,Metas,Cant. Benef,Beneficiarios,Modalidad,Programa,Subprograma,Tipo Proyecto,Fecha Avance,Tipo Localidad,Ejer,Agrupador,Componente,Id_Cajón,Cajón,Monto Cajon,Id_Expediente,Ultimo Aprobado,Fecha Cajón,Fed,Est,Mpal,Benef,Otro,Contratado,Monto Convenio,Anticipo,Monto Anticipo,Firma Contrato,Tipo Concurso,Folio Hacienda,Programa GS,Capital Fed,Prod Fin Fed,Capital Est,Prod Fin Est,Capital Mpal,Prod Fin Mpal,Capital Otro,Prod Fin Otro,Cuenta,Banco,Cve_Prog_SIEGGEQ,Descrip_Prog_SIEGGEQ,Cve_Comp_SIEGGEQ,Descrip_Comp_SIEGGEQ,Cve_Activ_SIEGGEQ,Descrip_Activ_SIEGGEQ,Fecha_Termino Convenio,FF,TIPO_REGUL,EJER_ANTERIOR,EJER_ACTUAL,PPTO_ACTUAL,TIPO,TERMINO ADMINISTRATIVO CONTRATO,Clasif Plan,MacroAgrupador,MacroComponente,Fecha Fatal,fecha_c,fecha_u_m
1,2016-00114C1,"PROYECTO INTEGRAL (PROYECTO EJECUTIVO Y CONSTRUCCIÓN) PARA LA REGENERACIÓN URBANA DE LA AV. TECNOLÓGICO (ENTRE LA CALLE PINO SUAREZ E HIDALGO) CORRESPONDIENTE A LA RUTA DEL ESTUDIANTE, SANTIAGO DE QUERÉTARO, QRO.",QUERETARO,SANTIAGO DE QUERETARO,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01404,04/11/2018,971202.34,22689185.49,0,971202.34,0,0,0,971202.34,971202.34,"INMOBILIARIA ARQUITECTURA Y CONSTRUCCION ARQON, S.A. DE C.V.",IAC110602AN3,SDUOP-SPC-EST-015-LP-0-OP-04-2016,04/26/2016,09/12/2016,TERMINADO,100,\N,,626495,PERSONAS,CONTRATO,URBANIZACION,GUARNICIONES Y BANQUETAS,GUARNICIONES Y BANQUETAS,05/21/2018,ZONA URBANA,2016,RUTA DEL ESTUDIANTE,SDUOP,2702,RUTA DEL ESTUDIANTE,971202.34,1762,971202.34,07/05/2018,0,100,0,0,0,22689185.49,0,30,6806755.65,19/04/2016,LICITACIÓN PÚBLICA,,,,,,,,,,,65502431306,SANTANDER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,04/20/2018,21E,\N,971202.34,0,0,O,09/12/2016,INFRAESTRUCTURA,VIALIDADES,,\N,07/23/2019,
2,2016-00228C1,PÓLIZAS DE MTTO PREVENTIVO Y CORRECTIVO DE RADIOCOMUNICACIÓN Y ENLACES DE DATOS PLATAFORMA MEXICO,ALCANCE ESTATAL,ALCANCE ESTATAL,SEGURIDAD,SEGURIDAD,FASP FEDERAL 2016,2018GEQ00391,02/19/2018,2059461.78,0,2059461.78,0,0,0,0,2059461.78,2059461.78,,,,\N,\N,TERMINADO,100,\N,,1827937,PERSONAS,ADMINISTRACION,SEGURIDAD PUBLICA,OTROS,OTROS,09/26/2017,ZONA URBANA,2016,SEGURIDAD,SSC,1590,SISTEMA NACIONAL DE INFORMACIÓN PARA LA SEGURIDAD PÚBLICA (PÓLIZAS DE MTTO PREVE Y CORREC DE RADIOCOMUN Y ENLA DE DATOS),2059461.78,1712,2621065.78,02/19/2018,100,0,0,0,0,0,0,0,0,\N,,,,,,,,,,,,65505301122,SANTANDER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,\N,64H,2.00,2059461.78,0,0,A,\N,SEGURIDAD,EQUIPAMIENTO EN SEGURIDAD,FASP,\N,07/23/2019,
3,2016-00228C1,PÓLIZAS DE MTTO PREVENTIVO Y CORRECTIVO DE RADIOCOMUNICACIÓN Y ENLACES DE DATOS PLATAFORMA MEXICO,ALCANCE ESTATAL,ALCANCE ESTATAL,SEGURIDAD,SEGURIDAD,ISN 2018,2018GEQ00391,02/19/2018,561604,0,0,561604,0,0,0,561604,561603.94,,,,\N,\N,TERMINADO,100,\N,,1827937,PERSONAS,ADMINISTRACION,SEGURIDAD PUBLICA,OTROS,OTROS,09/26/2017,ZONA URBANA,2016,SEGURIDAD,SSC,1593,SISTEMA NACIONAL DE INFORMACIÓN PARA LA SEGURIDAD PÚBLICA (PÓLIZAS DE MTTO PREVE Y CORREC DE RADIOCOMUN Y ENLA DE DATOS),561604,1712,2621065.78,02/19/2018,0,100,0,0,0,0,0,0,0,\N,,,,,,,,,,,,0111157183,BANCOMER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,\N,43E,\N,561603.94,0,0.06,A,\N,SEGURIDAD,EQUIPAMIENTO EN SEGURIDAD,FASP,\N,07/23/2019,
4,2016-00444C1,"RECTIFICACIÓN GEOMÉTRICA EN BAHÍAS Y ADECUACIONES EN PASEO CONSTITUYENTES PARA EL EJE ESTRUCTURANTE CONSTITUCIÓN DE 1917, ALCANCE ESTATAL",ALCANCE ESTATAL,ALCANCE ESTATAL,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01974,10/10/2018,270636.93,8504103.19,0,270636.93,0,0,0,270636.93,270636.93,"CONSTRUCTORA KODIAK, S. A. DE C. V.",CKO090612BY1,SDUOP-SPC-EST-029-IR-0-OP-06-2016,07/08/2016,10/27/2016,TERMINADO,100,\N,,769568,PERSONAS,CONTRATO,VIALIDADES URBANAS,CONSTRUCCION,AVENIDAS,10/02/2018,ZONA URBANA,2016,DESARROLLO URBANO,EJE ESTRUCTURANTE PASEO DE LA CONSTITUCIÓN,3291,EJE ESTRUCTURANTE PASEO DE LA CONSTITUCIÓN (ADECUACIONES EN PASEO CONSTITUCIÓN),270636.93,2768,270636.93,10/10/2018,0,100,0,0,0,8504103.19,0,30,2551230.96,30/06/2016,INVITACIÓN RESTRINGIDA,,,,,,,,,,,65502431306,SANTANDER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,10/11/2018,21E,\N,270636.93,0,0,O,10/27/2016,TRANSPORTE PUBLICO,INFRAESTRUCTURA EN TRANSPORTE PÚBLICO,PASEO CONSTITUCIÓN,\N,07/23/2019,
5,2016-00481C3,SUSTITUCIÓN Y AMPLIACIÓN DE PUENTES SOBRE EL DREN ARENAL DE EJE ESTRUCTURANTE AVENIDA DE LA LUZ,QUERETARO,SANTIAGO DE QUERETARO,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01405,06/20/2018,169019.32,9642781.37,0,169019.32,0,0,0,169019.32,169019.32,"CONSTRUCTORA E INMOBILIARIA SALCO, S.A. DE C.V.",CIS8506186G5,SDUOP-SPC-EST-033-IR-0-OP-07-2016,07/22/2016,09/30/2016,TERMINADO,100,\N,,626495,PERSONAS,CONTRATO,URBANIZACION,CONSTRUCCION DE PASOS PEATONALES Y VEHICULARES,PASOS VEHICULARES,06/18/2018,ZONA URBANA,2016,TRANSPORTE PÚBLICO,EJE ESTRUCTURANTE AV. DE LA LUZ,2704,EJE ESTRUCTURANTE AV. DE LA LUZ (CARRIL DE CONCRETO) QUERÉTARO,169019.32,1763,169019.32,07/06/2018,0,100,0,0,0,9642781.37,0,50,4821390.69,15/07/2016,INVITACIÓN RESTRINGIDA,,,,,,,,,,,65502431306,SANTANDER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,06/30/2018,21E,\N,169019.32,0,0,O,09/30/2016,TRANSPORTE PUBLICO,INFRAESTRUCTURA EN TRANSPORTE PÚBLICO,AV. DE LA LUZ,\N,07/23/2019,
6,2016-00482C1,REPAVIMENTACIÓN Y SEÑALAMIENTO DE EJE ESTRUCTURANTE AVENIDA DE LA LUZ.,QUERETARO,SANTIAGO DE QUERETARO,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01975,10/10/2018,14968596.01,30483017.1,0,14968596.01,0,0,0,14968596.01,14968596.01,GONZALEZ MARTELL ABRAHAM,GOMA670618257,SDUOP-SPC-EST-030-LP-0-OP-07-2016,07/19/2016,10/25/2016,TERMINADO,100,\N,,626495,PERSONAS,CONTRATO,VIALIDADES URBANAS,CONSTRUCCION,AVENIDAS,09/28/2018,ZONA URBANA,2016,TRANSPORTE PÚBLICO,EJE ESTRUCTURANTE AV. DE LA LUZ,3292,EJE ESTRUCTURANTE AV. DE LA LUZ (CARRIL DE CONCRETO) QUERÉTARO,14968596.01,2769,14968596.01,10/10/2018,0,100,0,0,0,30483017.1,0,50,15241508.5,12/07/2016,LICITACIÓN PÚBLICA,,,,,,,,,,,65502431306,SANTANDER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,10/12/2018,21E,\N,14968596.01,0,0,O,10/25/2016,TRANSPORTE PUBLICO,INFRAESTRUCTURA EN TRANSPORTE PÚBLICO,AV. DE LA LUZ,\N,07/23/2019,
7,2016-00610C1,MODERNIZACIÓN DE CARRETERA ESTATAL NO. 200 DEL KM 9+000 (LIBRAMIENTO SALDARRIAGA) AL 14+000,EL MARQUES,SALDARRIAGA,CEIQ,CEIQ,ISN EMPRESA,2018GEQ01976,10/10/2018,65061093.47,92945070.49,0,65061093.47,0,0,0,65061093.47,65061093.47,"CONSTRUCCIONES Y DESARROLLOS ACRE, S.A. DE C.V.",CDA0712183R0,CEIQ OV 047/2016,08/22/2016,05/18/2017,TERMINADO,100,\N,,1200000,PERSONAS,CONTRATO,CARRETERAS ALIMENTADORAS,MODERNIZACION Y AMPLIACION,CARRETERAS,09/27/2018,POBLADO RURAL,2016,DESARROLLO URBANO,CEIQ,3293,AMPLIACIÓN DE CARRETERA ESTATAL 200 EN EL TRAMO DE SALDARRIAGA HACIA EL AEROPUERTO INTERCONTINENTAL DE QUERÉTARO,65061093.47,1713,65061093.47,10/10/2018,0,100,0,0,0,92945070.49,0,30,27883521.15,15/08/2016,LICITACIÓN PÚBLICA,,,,,,,,,,,65502431306,SANTANDER,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,10/03/2018,21E,\N,65061093.47,0,0,O,05/18/2017,INFRAESTRUCTURA,CAMINOS Y CARRETERAS,,12/31/2018,07/23/2019,
8,2016-01107C1,"COMPLEMENTO DE NODOS PARA RED DE VOZ Y DATOS EN TRIBUNAL SUPERIOR DE JUSTICIA DE CADEREYTA DE MONTES, QRO.",CADEREYTA,CADEREYTA,CEIQ,TSJ,GEQ PA 2017,2017GEQ01585,09/06/2017,116350.37,146196.69,0,116350.37,0,0,0,116350.37,116350.37,CONSTRUCTORA NOVAL S.A. DE C.V.,CNO080106GP9,CEI OE 102/2016,01/09/2017,07/30/2017,TERMINADO,100,\N,,49,PERSONAS,CONTRATO,OTROS PROYECTOS EN INFRAESTRUCTURA Y EQUIPAMIENTO,EDIFICIOS DE GOBIERNO,EDIFICIOS DE GOBIERNO,07/04/2017,ZONA URBANA,2016,SEGURIDAD,CEIQ,1598,"COMPLEMENTO DE NODOS PARA RED DE VOZ Y DATOS EN TRIBUNAL SUPERIOR DE JUSTICIA DE CADEREYTA DE MONTES, QRO",116350.37,310,116350.37,02/20/2018,0,100,0,0,0,146196.69,0,0,0,04/01/2017,ASIGNACIÓN DIRECTA,,,,,,,,,,,165999460177,BANREGIO,43361K0610,PROYECTO DE OBRAS Y ACCIONES,1,OBRAS Y ACCIONES REALIZADAS. ,1,OBRAS Y ACCIONES 2017,\N,F01,\N,116350.37,0,0,O,07/30/2017,SEGURIDAD,EQUIPAMIENTO EN SEGURIDAD,,\N,07/23/2019,
9,2017-00001,IMPRESIÓN DE LIBRO CONMEMORATIVO DEL CENTENARIO DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS,QUERETARO,COL. CENTRO,CULTURA,CULTURA,G.E.Q. OYA 2017,2017GEQ00113,01/24/2017,646236,0,0,646236,0,0,0,646236,646236,,,,\N,\N,TERMINADO,100,\N,,3000,PERSONAS,ADMINISTRACION,DEF. Y COND. DE LA PLANEACION DEL DES. REG.,ADMINISTRACION,ADMINISTRACION,02/07/2017,ZONA URBANA,2017,CULTURA,CULTURA,177,IMPRESIÓN DE LIBRO CONMEMORATIVO DEL CENTENARIO DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS,646236,798,646236,01/24/2017,0,100,0,0,0,0,0,0,0,\N,,,,,,,,,,,,4014610950,HSBC,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,\N,20G,\N,646236,0,0,A,\N,CULTURA,EVENTOS CULTURALES,CULTURA REMANTES,\N,07/23/2019,
10,2017-00002,ESCULTURA CONMEMORATIVA DEL CENTENARIO DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS,ALCANCE ESTATAL,ALCANCE ESTATAL,CULTURA,CULTURA,G.E.Q. OYA 2017,2017GEQ00114,01/24/2017,2256200,0,0,2256200,0,0,0,2256200,2256200,,,,\N,\N,TERMINADO,100,\N,,45000,PERSONAS,ADMINISTRACION,DEF. Y COND. DE LA PLANEACION DEL DES. REG.,ADMINISTRACION,ADMINISTRACION,02/07/2017,ZONA URBANA,2017,CULTURA,CULTURA,178,ESCULTURA CONMEMORATIVA DEL CENTENARIO DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS,2256200,799,2256200,01/24/2017,0,100,0,0,0,0,0,0,0,\N,,,,,,,,,,,,4014610950,HSBC,43321K0613,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,1,OBRAS Y ACCIONES REALIZADAS.,1,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,\N,20G,\N,2256200,0,0,A,\N,CULTURA,EVENTOS CULTURALES,CULTURA REMANTES,\N,07/23/2019,
