id,origen,depe,fondo,norma_cs_aplica,origen_recurso,modifica
1,Picaso,,BOMBEROS 2018 (LICENCIAS),ESTATAL,ESTATAL,crobledo|23/09/2019&
2,Picaso,,BOMBEROS 2018 (REFRENDOS),ESTATAL,ESTATAL,crobledo|23/09/2019&
3,Picaso,,BRIGADAS RURALES EST 2018,ESTATAL,ESTATAL,crobledo|23/09/2019&
4,Picaso,,BRIGADAS RURALES FED 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
5,Picaso,,CONADE (ACTIV FISICA 2018),FEDERAL,FEDERAL,crobledo|23/09/2019&
6,Picaso,,CONADE (ALTO RENDIM 2018),FEDERAL,FEDERAL,crobledo|23/09/2019&
7,Picaso,,CONADE (CENTROS DEPORTE 2018),FEDERAL,FEDERAL,crobledo|23/09/2019&
8,Picaso,,CONADE (GIMNASIO MULTIFUN 18),FEDERAL,FEDERAL,crobledo|23/09/2019&
9,Picaso,,CONADE (OLIMPIAD NAL 2018),FEDERAL,FEDERAL,crobledo|23/09/2019&
10,Picaso,,CONADE 18(JD SILLAS DE RUEDAS),FEDERAL,FEDERAL,crobledo|23/09/2019&
11,Picaso,,CONV SCT 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
12,Picaso,,CONV SCT 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
13,Picaso,,CONV SCT-CAM RURALES 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
14,Picaso,,CULTURA CENTRO ARTES QRO 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
15,Picaso,,CULTURA CONCIERTOS OFEQ 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
16,Picaso,,CULTURA EQUIP OFEQ 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
17,Picaso,,CULTURA INFANTIL 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
18,Picaso,,CULTURA PACMYC 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
19,Picaso,,CULTURA-HUASTECA 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
20,Picaso,,CULTURA-HUASTECA 2019,FEDERAL,FEDERAL,crobledo|23/09/2019&
21,Picaso,,EQUIPAMIENTO DE RIEGO 2018 EST,ESTATAL,ESTATAL,crobledo|23/09/2019&
22,Picaso,,EQUIPAMIENTO DE RIEGO 2018 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
23,Picaso,,EQUIPAMIENTO DE RIEGO 2019 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
24,Picaso,,FAFEF 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
25,Picaso,,FAFEF 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
26,Picaso,,FAM BASICA 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
27,Picaso,,FAM BASICA 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
28,Picaso,,FAM MEDIA SUP 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
29,Picaso,,FAM MEDIA SUP 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
30,Picaso,,FAM POTENCIADO,ESTATAL,FEDERAL,crobledo|23/09/2019&
31,Picaso,,FAM SOCIAL 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
32,Picaso,,FAM SOCIAL 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
33,Picaso,,FAM SUP 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
34,Picaso,,FAM SUP 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
35,Picaso,,FASP ESTATAL 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
36,Picaso,,FASP ESTATAL 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
37,Picaso,,FASP FEDERAL 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
38,Picaso,,FASP FEDERAL 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
39,Picaso,,FIES 2017,ESTATAL,FEDERAL,crobledo|23/09/2019&
40,Picaso,,FIES 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
41,Picaso,,FISE 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
42,Picaso,,FISE 2019,ESTATAL,FEDERAL,crobledo|23/09/2019&
43,Picaso,,FNE CENTRO INNOVACION 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
44,Picaso,,FNE SECTOR MINERO 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
45,Picaso,,FOMENTO LECTURA 2018,ESTATAL,FEDERAL,crobledo|23/09/2019&
46,Picaso,,G.E.Q. OYA 2018,ESTATAL,ESTATAL,crobledo|23/09/2019&
47,Picaso,,G.E.Q. OYA 2019,ESTATAL,ESTATAL,crobledo|23/09/2019&
48,Picaso,,GEQ 2017,ESTATAL,ESTATAL,crobledo|23/09/2019&
49,Picaso,,GEQ PA 2018,ESTATAL,ESTATAL,crobledo|23/09/2019&
50,Picaso,,GEQ PA 2019,ESTATAL,ESTATAL,crobledo|23/09/2019&
51,Picaso,,ISN 2018,ESTATAL,ESTATAL,crobledo|23/09/2019&
52,Picaso,,ISN 2018-2,ESTATAL,ESTATAL,crobledo|23/09/2019&
53,Picaso,,ISN 2019,ESTATAL,ESTATAL,crobledo|23/09/2019&
54,Picaso,,ISN EMPRESA,ESTATAL,ESTATAL,crobledo|23/09/2019&
55,Picaso,,MEDIO AMBIENTE 2018,ESTATAL,ESTATAL,crobledo|23/09/2019&
56,Picaso,,MEDIO AMBIENTE 2019,ESTATAL,ESTATAL,crobledo|23/09/2019&
57,Picaso,,PAICE 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
58,Picaso,,PRODERMAGICO 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
59,Picaso,,PRODERMAGICO DESTINO 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
60,Picaso,,PROII 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
61,Picaso,,PROIN 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
62,Picaso,,PROIN SEDEA 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
63,Picaso,,RAMO 48 CULTURA 2018,FEDERAL,FEDERAL,crobledo|23/09/2019&
64,Picaso,,RAMO 48 PECDA 2019,FEDERAL,FEDERAL,crobledo|23/09/2019&
65,Picaso,,RIEGO POR GRAVEDAD 2018 EST,ESTATAL,ESTATAL,crobledo|23/09/2019&
66,Picaso,,RIEGO POR GRAVEDAD 2018 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
67,Picaso,,RIEGO POR GRAVEDAD 2019 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
68,Picaso,,TECNIF Y EQUIP DE RIEGO 18 EST,ESTATAL,ESTATAL,crobledo|23/09/2019&
69,Picaso,,TECNIF Y EQUIP DE RIEGO 18 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
70,Picaso,,TECNIF Y EQUIP DE RIEGO 19 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
71,Picaso,,TECNIFICACIÓN DE RIEGO 18 EST,ESTATAL,ESTATAL,crobledo|23/09/2019&
72,Picaso,,TECNIFICACIÓN DE RIEGO 18 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
73,Picaso,,TECNIFICACIÓN DE RIEGO 19 FED,ESTATAL,FEDERAL,crobledo|23/09/2019&
74,Picaso,,PROGRAMA ESCUELAS DE TIEMPO COMPLETO,FEDERAL,FEDERAL,crobledo|23/09/2019&
75,Picaso,,PROGRAMA PARA EL DESARROLLO PROFESIONAL DOCENTE -TIPO BÁSICO,FEDERAL,FEDERAL,crobledo|23/09/2019&
