id,NO DE OBRA PICASO / OFICIO DE APROBACIÓN / NÚMERO DE CONTRATO,SIGLAS DEPENDENCIA O ENTIDAD EJECUTORA,TIPO,NOMBRE DEL PROGRAMA PRESUPUESTARIO,NOMBRE DE LA OBRA/ACCIÓN/PROYECTO,FF FEDERAL,FUENTE FEDERAL,IMPORTE (Aprobado),FF ESTATAL,FUENTE ESTATAL,IMPORTE,FF RECURSOS PROPIOS,RECURSOS PROPIOS,IMPORTE,FF MUNICIPAL,FUENTE MUNICIPAL,IMPORTE,IMPORTE CONTRATADO,IMPORTE  EJERCIDO,LOCALIDAD DE LA OBRA,MUNICIPIO DE LA OBRA,"FECHA 
INICIO","FECHA
FIN",fecha_c,fecha_u_m
1,22021906003,SNE,APOYO,PROGRAMA DE APOYO AL EMPLEO,APOYO GENERAL A EMPRESAS,2019.14.310.3.1.02.00.011.S043.43901.1.1.0000002200.02.22,PROGRAMA DE APOYO AL EMPLEO," $61,072.00 ",,,,,,,,,,,,QUERÉTARO,QUERÉTARO,24/06/2019,23/07/2019,08/06/2019,
2,22021906004,SNE,APOYO,PROGRAMA DE APOYO AL EMPLEO,APOYO GENERAL A EMPRESAS,2019.14.310.3.1.02.00.011.S043.43901.1.1.0000002200.02.22,PROGRAMA DE APOYO AL EMPLEO," $63,525.60 ",,,,,,,,,,,,QUERÉTARO,QUERÉTARO,24/06/2019,23/07/2019,08/06/2019,
3,22021906006,SNE,APOYO,PROGRAMA DE APOYO AL EMPLEO,APOYO GENERAL A EMPRESAS,2019.14.310.3.1.02.00.011.S043.43901.1.1.0000002200.02.22,PROGRAMA DE APOYO AL EMPLEO," $61,072.00 ",,,,,,,,,,,,QUERÉTARO,QUERÉTARO,27/06/2019,26/07/2019,08/06/2019,
4,22021906005,SNE,APOYO,PROGRAMA DE APOYO AL EMPLEO,APOYO GENERAL A EMPRESAS,2019.14.310.3.1.02.00.011.S043.43901.1.1.0000002200.02.22,PROGRAMA DE APOYO AL EMPLEO," $61,072.00 ",,,,,,,,,,,,AMEALCO DE BONFIL,AMEALCO DE BONFIL,28/06/2019,27/07/2019,08/06/2019,
5,22021906007,SNE,APOYO,PROGRAMA DE APOYO AL EMPLEO,APOYO GENERAL A EMPRESAS,2019.14.310.3.1.02.00.011.S043.43901.1.1.0000002200.02.22,PROGRAMA DE APOYO AL EMPLEO," $61,072.00 ",,,,,,,,,,,,QUERÉTARO,QUERÉTARO,28/06/2019,27/07/2019,08/06/2019,
6,22021906008,SNE,APOYO,PROGRAMA DE APOYO AL EMPLEO,APOYO GENERAL A EMPRESAS,2019.14.310.3.1.02.00.011.S043.43901.1.1.0000002200.02.22,PROGRAMA DE APOYO AL EMPLEO," $61,072.00 ",,,,,,,,,,,,QUERÉTARO,QUERÉTARO,28/06/2019,27/07/2019,08/06/2019,
7,2018GEQ02011,SECULTURA,,,,,,,,,,,,,,,,,,,,,,08/06/2019,
8,2019-00487,IIFEQ,OBRA,,TERMINACIÓN DE BARDA PERIMETRAL EN EL PREESCOLAR JOSE GUADALUPE POSADA,,,,08Q,ISN 2019," $1,379,089.40 ",,,,,,, $-   ,,"PARAISO, EL",EL MARQUÉS,,,08/06/2019,
9,2018-00843,SEDESOQ,APOYO,FONDO DE APOYO A MIGRANTES,APOYOS ECONOMICOS A MIGRANTES,26P,RAMO 23 FONDO DE APOYO A MIGRANTES," $3,707,259.00 ",,,,,,,,,,," $3,689,688.00 ",ESTATAL,ALCANCE ESTATAL,12/11/2018,30/12/2018,08/06/2019,
10,2018-00827,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA JARDIN DE NIÑOS MANUEL CERVANTES,77N,FIES 2018," $750,000.00 ",,,,,,,,,," $736,204.66 "," $642,065.99 ",LA LUZ,QUERÉTARO,24/08/2018,06/11/2018,08/06/2019,
