numObra,nombreObra,municipio,localidad,ejecutor,promotor,fondo,noOficAprob,fechaAprob,montoExp,totalContratado,montoFed,montoEst,montoMpal,montoBenef,montoOtro,aprobado,ejercido,contratista,rfc,numContrato,fechaInicioContrato,fechaTerminoContrato,edoProyecto,avanceFisico,cantMetas,metas,cantBenef,beneficiarios,modalidad,programa,subprograma,tipoProyecto,fechaAvance,tipoLocalidad,ejer,agrupador,componente,idCajón,cajón,montoCajon,idExpediente,ultimoAprobado,fechaCajón,fed,est,mpal,benef,otro,contratado,montoConvenio,anticipo,montoAnticipo,firmaContrato,tipoConcurso,folioHacienda,programaGs,capitalFed,prodFinFed,capitalEst,prodFinEst,capitalMpal,prodFinMpal,capitalOtro,prodFinOtro,cuenta,banco,idFondo,pagado,enTransito,paripassu,fechaFallo,macroagrupador,macrocomponente,fecha1aAprob,acumAprobado,acumEjercido,ejecutor2,terminoConvenio,fechaFatal,idProgSieggeq,idCompSieggeq,idActivSieggeq,descProgSieggeq,descCompSieggeq,descActivSieggeq,ff,tipoRegul,ejerAnterior,ejerActual,pptoActual,tipo,terminoAdmContrato,clasifPlan,nr,ejerMacrocomp,estatus
2016-00114C1,"PROYECTO INTEGRAL (PROYECTO EJECUTIVO Y CONSTRUCCIÓN) PARA LA REGENERACIÓN URBANA DE LA AV. TECNOLÓGICO (ENTRE LA CALLE PINO SUAREZ E HIDALGO) CORRESPONDIENTE A LA RUTA DEL ESTUDIANTE, SANTIAGO DE QUERÉTARO, QRO.",QUERETARO,SANTIAGO DE QUERETARO,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01404,11/04/2018,971202.34,22689185.49,0,971202.34,0,0,0,971202.34,971202.34,"INMOBILIARIA ARQUITECTURA Y CONSTRUCCION ARQON, S.A. DE C.V.",IAC110602AN3,SDUOP-SPC-EST-015-LP-0-OP-04-2016,26/04/2016,12/09/2016,TERMINADO,100,,,626495,PERSONAS,CONTRATO,URBANIZACION,GUARNICIONES Y BANQUETAS,GUARNICIONES Y BANQUETAS,21/05/2018,ZONA URBANA,2016,RUTA DEL ESTUDIANTE,SDUOP,2702,RUTA DEL ESTUDIANTE,971202.34,1762,971202.34,05/07/2018,0,100,0,0,0,22689185.49,0,30,6806755.65,19/04/2016,LICITACIÓN PÚBLICA,,,,,,,,,,,65502431306,SANTANDER,504,971202.34,0,,19/04/2016,VIALIDADES,,25/01/2017,971202.34,971202.34,SDUOP,20/04/2018,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,21E,,971202.34,0,0,O,12/09/2016,INFRAESTRUCTURA,270221E,,AC
2016-00228C1,PÓLIZAS DE MTTO PREVENTIVO Y CORRECTIVO DE RADIOCOMUNICACIÓN Y ENLACES DE DATOS PLATAFORMA MEXICO,ALCANCE ESTATAL,ALCANCE ESTATAL,SEGURIDAD,SEGURIDAD,FASP FEDERAL 2016,2018GEQ00391,19/02/2018,2059461.78,0,2059461.78,0,0,0,0,2059461.78,2059461.78,,,,,,TERMINADO,100,,,1827937,PERSONAS,ADMINISTRACION,SEGURIDAD PUBLICA,OTROS,OTROS,26/09/2017,ZONA URBANA,2016,SEGURIDAD,SSC,1590,SISTEMA NACIONAL DE INFORMACIÓN PARA LA SEGURIDAD PÚBLICA (PÓLIZAS DE MTTO PREVE Y CORREC DE RADIOCOMUN Y ENLA DE DATOS),2059461.78,1712,2621065.78,19/02/2018,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,65505301122,SANTANDER,3338,2621065.72,0,NO APLICA,,EQUIPAMIENTO EN SEGURIDAD,FASP,19/02/2018,2621065.78,2621065.72,SEGURIDAD,,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,64H,2,2059461.78,0,0,A,,SEGURIDAD,159064H,2016,REG01
2016-00228C1,PÓLIZAS DE MTTO PREVENTIVO Y CORRECTIVO DE RADIOCOMUNICACIÓN Y ENLACES DE DATOS PLATAFORMA MEXICO,ALCANCE ESTATAL,ALCANCE ESTATAL,SEGURIDAD,SEGURIDAD,ISN 2018,2018GEQ00391,19/02/2018,561604,0,0,561604,0,0,0,561604,561603.94,,,,,,TERMINADO,100,,,1827937,PERSONAS,ADMINISTRACION,SEGURIDAD PUBLICA,OTROS,OTROS,26/09/2017,ZONA URBANA,2016,SEGURIDAD,SSC,1593,SISTEMA NACIONAL DE INFORMACIÓN PARA LA SEGURIDAD PÚBLICA (PÓLIZAS DE MTTO PREVE Y CORREC DE RADIOCOMUN Y ENLA DE DATOS),561604,1712,2621065.78,19/02/2018,0,100,0,0,0,0,0,0,0,,,,,,,,,,,,,111157183,BANCOMER,4004,2621065.72,0,NO APLICA,,EQUIPAMIENTO EN SEGURIDAD,FASP,19/02/2018,2621065.78,2621065.72,SEGURIDAD,,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,43E,,561603.94,0,0.06,A,,SEGURIDAD,159343E,2016,AC
2016-00444C1,"RECTIFICACIÓN GEOMÉTRICA EN BAH�?AS Y ADECUACIONES EN PASEO CONSTITUYENTES PARA EL EJE ESTRUCTURANTE CONSTITUCIÓN DE 1917, ALCANCE ESTATAL",ALCANCE ESTATAL,ALCANCE ESTATAL,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01974,10/10/2018,270636.93,8504103.19,0,270636.93,0,0,0,270636.93,270636.93,"CONSTRUCTORA KODIAK, S. A. DE C. V.",CKO090612BY1,SDUOP-SPC-EST-029-IR-0-OP-06-2016,08/07/2016,27/10/2016,TERMINADO,100,,,769568,PERSONAS,CONTRATO,VIALIDADES URBANAS,CONSTRUCCION,AVENIDAS,02/10/2018,ZONA URBANA,2016,DESARROLLO URBANO,EJE ESTRUCTURANTE PASEO DE LA CONSTITUCIÓN,3291,EJE ESTRUCTURANTE PASEO DE LA CONSTITUCIÓN (ADECUACIONES EN PASEO CONSTITUCIÓN),270636.93,2768,270636.93,10/10/2018,0,100,0,0,0,8504103.19,0,30,2551230.96,30/06/2016,INVITACIÓN RESTRINGIDA,,,,,,,,,,,65502431306,SANTANDER,504,270636.93,0,,30/06/2016,INFRAESTRUCTURA EN TRANSPORTE PÚBLICO,PASEO CONSTITUCIÓN,10/10/2018,270636.93,270636.93,SDUOP,11/10/2018,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,21E,,270636.93,0,0,O,27/10/2016,TRANSPORTE PUBLICO,329121E,2016,AC
2016-00481C3,SUSTITUCIÓN Y AMPLIACIÓN DE PUENTES SOBRE EL DREN ARENAL DE EJE ESTRUCTURANTE AVENIDA DE LA LUZ,QUERETARO,SANTIAGO DE QUERETARO,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01405,20/06/2018,169019.32,9642781.37,0,169019.32,0,0,0,169019.32,169019.32,"CONSTRUCTORA E INMOBILIARIA SALCO, S.A. DE C.V.",CIS8506186G5,SDUOP-SPC-EST-033-IR-0-OP-07-2016,22/07/2016,30/09/2016,TERMINADO,100,,,626495,PERSONAS,CONTRATO,URBANIZACION,CONSTRUCCION DE PASOS PEATONALES Y VEHICULARES,PASOS VEHICULARES,18/06/2018,ZONA URBANA,2016,TRANSPORTE PÚBLICO,EJE ESTRUCTURANTE AV. DE LA LUZ,2704,EJE ESTRUCTURANTE AV. DE LA LUZ (CARRIL DE CONCRETO) QUERÉTARO,169019.32,1763,169019.32,06/07/2018,0,100,0,0,0,9642781.37,0,50,4821390.69,15/07/2016,INVITACIÓN RESTRINGIDA,,,,,,,,,,,65502431306,SANTANDER,504,164384.83,4634.49,,15/07/2016,INFRAESTRUCTURA EN TRANSPORTE PÚBLICO,AV. DE LA LUZ,20/06/2018,169019.32,169019.32,SDUOP,30/06/2018,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,21E,,169019.32,0,0,O,30/09/2016,TRANSPORTE PUBLICO,270421E,2016,AC
2016-00482C1,REPAVIMENTACIÓN Y SEÑALAMIENTO DE EJE ESTRUCTURANTE AVENIDA DE LA LUZ.,QUERETARO,SANTIAGO DE QUERETARO,SDUOP,SDUOP,ISN EMPRESA,2018GEQ01975,10/10/2018,14968596.01,30483017.1,0,14968596.01,0,0,0,14968596.01,14968596.01,GONZALEZ MARTELL ABRAHAM,GOMA670618257,SDUOP-SPC-EST-030-LP-0-OP-07-2016,19/07/2016,25/10/2016,TERMINADO,100,,,626495,PERSONAS,CONTRATO,VIALIDADES URBANAS,CONSTRUCCION,AVENIDAS,28/09/2018,ZONA URBANA,2016,TRANSPORTE PÚBLICO,EJE ESTRUCTURANTE AV. DE LA LUZ,3292,EJE ESTRUCTURANTE AV. DE LA LUZ (CARRIL DE CONCRETO) QUERÉTARO,14968596.01,2769,14968596.01,10/10/2018,0,100,0,0,0,30483017.1,0,50,15241508.5,12/07/2016,LICITACIÓN PÚBLICA,,,,,,,,,,,65502431306,SANTANDER,504,14968596.01,0,,12/07/2016,INFRAESTRUCTURA EN TRANSPORTE PÚBLICO,AV. DE LA LUZ,10/10/2018,14968596.01,14968596.01,SDUOP,12/10/2018,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,21E,,14968596.01,0,0,O,25/10/2016,TRANSPORTE PUBLICO,329221E,2016,AC
2016-00610C1,MODERNIZACIÓN DE CARRETERA ESTATAL NO. 200 DEL KM 9+000 (LIBRAMIENTO SALDARRIAGA) AL 14+000,EL MARQUES,SALDARRIAGA,CEIQ,CEIQ,ISN EMPRESA,2018GEQ01976,10/10/2018,65061093.47,92945070.49,0,65061093.47,0,0,0,65061093.47,65061093.47,"CONSTRUCCIONES Y DESARROLLOS ACRE, S.A. DE C.V.",CDA0712183R0,CEIQ OV 047/2016,22/08/2016,18/05/2017,TERMINADO,100,,,1200000,PERSONAS,CONTRATO,CARRETERAS ALIMENTADORAS,MODERNIZACION Y AMPLIACION,CARRETERAS,27/09/2018,POBLADO RURAL,2016,DESARROLLO URBANO,CEIQ,3293,AMPLIACIÓN DE CARRETERA ESTATAL 200 EN EL TRAMO DE SALDARRIAGA HACIA EL AEROPUERTO INTERCONTINENTAL DE QUERÉTARO,65061093.47,1713,65061093.47,10/10/2018,0,100,0,0,0,92945070.49,0,30,27883521.15,15/08/2016,LICITACIÓN PÚBLICA,,,,,,,,,,,65502431306,SANTANDER,504,65061093.47,0,,11/08/2016,CAMINOS Y CARRETERAS,,10/10/2018,65061093.47,65061093.47,CEIQ,03/10/2018,31/12/2018,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,21E,,65061093.47,0,0,O,18/05/2017,INFRAESTRUCTURA,329321E,,AC
2016-01107C1,"COMPLEMENTO DE NODOS PARA RED DE VOZ Y DATOS EN TRIBUNAL SUPERIOR DE JUSTICIA DE CADEREYTA DE MONTES, QRO.",CADEREYTA,CADEREYTA,CEIQ,TSJ,GEQ PA 2017,2017GEQ01585,06/09/2017,116350.37,146196.69,0,116350.37,0,0,0,116350.37,116350.37,CONSTRUCTORA NOVAL S.A. DE C.V.,CNO080106GP9,CEI OE 102/2016,09/01/2017,30/07/2017,TERMINADO,100,,,49,PERSONAS,CONTRATO,OTROS PROYECTOS EN INFRAESTRUCTURA Y EQUIPAMIENTO,EDIFICIOS DE GOBIERNO,EDIFICIOS DE GOBIERNO,04/07/2017,ZONA URBANA,2016,SEGURIDAD,CEIQ,1598,"COMPLEMENTO DE NODOS PARA RED DE VOZ Y DATOS EN TRIBUNAL SUPERIOR DE JUSTICIA DE CADEREYTA DE MONTES, QRO",116350.37,310,116350.37,20/02/2018,0,100,0,0,0,146196.69,0,0,0,04/01/2017,ASIGNACIÓN DIRECTA,,,,,,,,,,,1.65999E+11,BANREGIO,519,116350.37,0,,02/01/2017,EQUIPAMIENTO EN SEGURIDAD,,,116350.37,116350.37,CEIQ,,,43361K0610,1,1,PROYECTO DE OBRAS Y ACCIONES,OBRAS Y ACCIONES REALIZADAS. ,OBRAS Y ACCIONES 2017,F01,,116350.37,0,0,O,30/07/2017,SEGURIDAD,1598F01,,AC
2017-00001,IMPRESIÓN DE LIBRO CONMEMORATIVO DEL CENTENARIO DE LA CONSTITUCIÓN POL�?TICA DE LOS ESTADOS UNIDOS MEXICANOS,QUERETARO,COL. CENTRO,CULTURA,CULTURA,G.E.Q. OYA 2017,2017GEQ00113,24/01/2017,646236,0,0,646236,0,0,0,646236,646236,,,,,,TERMINADO,100,,,3000,PERSONAS,ADMINISTRACION,DEF. Y COND. DE LA PLANEACION DEL DES. REG.,ADMINISTRACION,ADMINISTRACION,07/02/2017,ZONA URBANA,2017,CULTURA,CULTURA,177,IMPRESIÓN DE LIBRO CONMEMORATIVO DEL CENTENARIO DE LA CONSTITUCIÓN POL�?TICA DE LOS ESTADOS UNIDOS MEXICANOS,646236,798,646236,24/01/2017,0,100,0,0,0,0,0,0,0,,,,,,,,,,,,,4014610950,HSBC,513,646236,0,,,EVENTOS CULTURALES,CULTURA REMANTES,24/01/2017,646236,646236,CULTURA,,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,20G,,646236,0,0,A,,CULTURA,17720G,2017,AC
2017-00002,ESCULTURA CONMEMORATIVA DEL CENTENARIO DE LA CONSTITUCIÓN POL�?TICA DE LOS ESTADOS UNIDOS MEXICANOS,ALCANCE ESTATAL,ALCANCE ESTATAL,CULTURA,CULTURA,G.E.Q. OYA 2017,2017GEQ00114,24/01/2017,2256200,0,0,2256200,0,0,0,2256200,2256200,,,,,,TERMINADO,100,,,45000,PERSONAS,ADMINISTRACION,DEF. Y COND. DE LA PLANEACION DEL DES. REG.,ADMINISTRACION,ADMINISTRACION,07/02/2017,ZONA URBANA,2017,CULTURA,CULTURA,178,ESCULTURA CONMEMORATIVA DEL CENTENARIO DE LA CONSTITUCIÓN POL�?TICA DE LOS ESTADOS UNIDOS MEXICANOS,2256200,799,2256200,24/01/2017,0,100,0,0,0,0,0,0,0,,,,,,,,,,,,,4014610950,HSBC,513,2256200,0,,,EVENTOS CULTURALES,CULTURA REMANTES,24/01/2017,2256200,2256200,CULTURA,,,43321K0613,1,1,PROGRAMA DE OBRAS Y ACCIONES REMANENTES DE EJERCICIOS ANTERIORES,OBRAS Y ACCIONES REALIZADAS.,OBRAS Y ACCIONES DE REMANENTES DE EJERCICIOS ANTERIORES,20G,,2256200,0,0,A,,CULTURA,17820G,2017,AC
