id_obra,subobra_id,num_obra,nombre_obra,mmunicipio,localidad,tipo_proyecto,ejecutora,normativa,clasificador_plan_estatal,cantidad_metas,unidad_metas,contratista,inicio_obra,termino_obra,status_obra,avance,monto_aprobado,fondo,ff_federal,importe_federal,aportacion_federal,ff_estatal,importe_esatal,aportacion_estatal,ff_municipal,importe_municipal,aportacion_municipal,ff_otros,imprte_otros,aportacion_otros,ff_recursos_propios,importe_recursos_propios,aportacion_recursos_propios,monto_contratado,monto_ejercido,status,solicitud_baja,baja_justificacion,baja_respuesta
1,,2019-00001,ESTUDIO DE TRANSITO PARA EL EJE ZARAGOZA,QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,TRANSPORTE PUBLICO,1,ESTUDIOS,EVIAL INGENIER�?A S.A. DE C.V.,12/02/2019,12/04/2019,TERMINADO,100,1886441.51,GEQ PA 2019,,0,0,F19,1886441.51,100,,0,0,,0,0,,,,1886441.51,1886441.5,,,,
2,,2019-00002,LEVANTAMIENTO TOPOGRAFICO AV. ZARAGOZA,QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,TRANSPORTE PUBLICO,1,ESTUDIOS,CONSTRUCTORA PCN S.A. DE C.V.,08/02/2019,08/04/2019,TERMINADO,100,516283.53,GEQ PA 2019,,0,0,F19,516283.53,100,,0,0,,0,0,,,,516283.53,516283.52,,,,
3,,2019-00003,ESTUDIO HIDROLÓGICO AV ZARAGOZA,QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,TRANSPORTE PUBLICO,1,ESTUDIOS,NIMZU INGENIER�?A S.A. DE C.V.,20/02/2019,20/04/2019,APROBADO,,2834541.83,GEQ PA 2019,,0,0,F19,2834541.83,100,,0,0,,0,0,,,,2834541.83,526680.71,,,,
4,,2019-00004,"ESTUDIO DE GEOTECNIA Y DISEÑO DE PAVIMENTO PARA EL EJE VIAL DE AV. ZARAGOZA, TRAMO 5 DE HILARIO FRIAS Y SOTO A AV. 5 DE FEBRERO Y TRAMO 6 DE AV. PASTEUR A EL TANQUE.",QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,TRANSPORTE PUBLICO,1,ESTUDIOS,CONSTRUCTORA PCN S.A. DE C.V.,20/02/2019,20/04/2019,TERMINADO,100,837555.61,GEQ PA 2019,,0,0,F19,837555.61,100,,0,0,,0,0,,,,837555.61,837555.6,,,,
5,,2019-00005,CONSTRUCCIÓN DE OBRAS DE CABECERA (DRENAJE PLUVIAL Y VIALIDADES EXTERIORES) PARA EL HOSPITAL GENERAL,QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,INFRAESTRUCTURA,3.04,KILOMETROS,CONTINENTAL GRASS PRODUCER S. DE R.L. DE C.V.,08/02/2019,06/08/2019,APROBADO,33,96012081.54,ISN 2019,,0,0,08Q,96012081.54,100,,0,0,,0,0,,,,96012081.54,56258078.18,,,,
6,,2019-00006,ARRANQUE PRIMER BIMESTRE 2019 COMBUSTIBLE HOMBRO CON HOMBRO TRANSPORTE ESCOLAR,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,EDUCACION,11730,PERSONA,,,,TERMINADO,100,3865822.11,ISN 2018-2,,0,0,92P,3865822.11,100,,0,0,,0,0,,,,0,3865822.11,,,,
7,,2019-00007,"CONSTRUCCIÓN DE DREN PLUVIAL EN LA CARRETERA ESTATAL 400, FRENTE AL FRACCIONAMIENTO CUMBRES DEL CIMATARIO, MUNICIPIO DE HUIMILPAN, QRO",HUIMILPAN,HUIMILPAN,,CEIQ,CEIQ,INFRAESTRUCTURA,825,ML(DRENAJE PLUVIAL),GONZALEZ MARTELL ABRAHAM,18/02/2019,17/06/2019,APROBADO,98,10795087.34,ISN 2019,,0,0,08Q,10795087.34,100,,0,0,,0,0,,,,10795087.34,7008682.8,,,,
8,,2019-00008,"NUEVO EDIFICIO PARA LA SECRETAR�?A DE LA JUVENTUD (PRELIMINARES, CIMENTACIÓN Y ESTRUCTURA)",QUERETARO,COLONIA VILLAS DEL PARQUE,,CEIQ,SEJUVE,INFRAESTRUCTURA,2300,METROS CUADRADOS,JV CONSTRUCCIONES CIVILES S.A. DE C.V.,25/02/2019,23/08/2019,APROBADO,98,20694221,ISN 2019,,0,0,08Q,20694221,100,,0,0,,0,0,,,,20694221,14725257.73,,,,
9,,2019-00009,HOMBRO CON HOMBRO POR TU ECONOM�?A FAMILIAR EN SU VERTIENTE TRANSPORTE PÚBLICO  (PERSONAL),ALCANCE REGIONAL,ALCANCE REGIONAL,,SEDESOQ,SEDESOQ,TRANSPORTE PUBLICO,1,SERVICIOS,,,,APROBADO,100,7947737.19,GEQ PA 2019,,0,0,F19,7947737.19,100,,0,0,,0,0,,,,0,7947737.19,,,,
10,,2019-00009,HOMBRO CON HOMBRO POR TU ECONOM�?A FAMILIAR EN SU VERTIENTE TRANSPORTE PÚBLICO  (PERSONAL),ALCANCE REGIONAL,ALCANCE REGIONAL,,SEDESOQ,SEDESOQ,TRANSPORTE PUBLICO,1,SERVICIOS,,,,APROBADO,100,8756262.81,ISN 2019,,0,0,08Q,8756262.81,100,,0,0,,0,0,,,,0,7947737.19,,,,
